Gestion,Bolivia Rural,Bolivia Urbana,Municipio de La Paz,Bolivia Rural Extrema,Bolivia Urbana Extrema,Municipio de La Paz Extrema
2011,510.4,683.6,668.3,290.9,360.3,371.6
2012,523.9,693.2,690.4,298.6,365.5,383.9
2013,542.3,733.5,747.0,309.1,387.1,415.3
2014,552.6,759.3,760.7,315.0,400.6,423.0
2015,550.6,760.4,782.7,313.8,401.3,435.2
2016,593.5,875.3,1010.7,320.6,435.4,496.4
2017,622.9,887.2,1034.4,341.5,434.3,499.7
2018,629.9,888.4,1035.5,345.2,431.5,492.4
2019,668.1,911.7,1063.8,381.1,449.3,514.6
2020,635.1,902.2,1061.1,344.4,434.6,502.1
2021,637.1,947.5,1065.1,346.4,453.7,500.5
